letter,position,percent1,delta,x,y
c,6,0.18181818181818182,0.11363636363636365,6,1
c,4,0.18181818181818182,0.09090909090909091,5,2
c,7,0.18181818181818182,0.11363636363636365,0,6
c,4,0.18181818181818182,0.09090909090909091,5,2
c,6,0.18181818181818182,0.11363636363636365,7,1
c,8,0.18181818181818182,0.04545454545454547,4,3
c,6,0.20454545454545456,0.09090909090909093,4,2
c,2,0.18181818181818182,0.04545454545454547,3,6
c,7,0.18181818181818182,0.11363636363636365,0,6
c,8,0.18181818181818182,0.11363636363636365,7,1
c,2,0.20454545454545456,0.11363636363636365,6,2
c,8,0.18181818181818182,0.11363636363636365,7,1
c,8,0.18181818181818182,0.11363636363636365,7,1
c,2,0.20454545454545456,0.022727272727272735,4,5
c,4,0.18181818181818182,0.09090909090909091,5,2
c,2,0.20454545454545456,0.022727272727272735,4,5
c,6,0.2727272727272727,0.022727272727272707,2,7
c,1,0.25,0.13636363636363635,8,0
c,6,0.2727272727272727,0.11363636363636362,5,2
c,2,0.22727272727272727,0.06818181818181818,5,3
c,4,0.22727272727272727,0.06818181818181818,3,4
c,8,0.2727272727272727,0.022727272727272707,5,4
c,4,0.25,0.13636363636363635,8,2
c,4,0.2727272727272727,0.06818181818181815,4,4
c,4,0.2727272727272727,0.09090909090909088,5,3
c,6,0.2727272727272727,0.022727272727272707,2,7
c,8,0.25,0.022727272727272735,3,8
c,4,0.2727272727272727,0.06818181818181815,4,4
c,3,0.25,0.13636363636363635,0,7
c,1,0.25,0.13636363636363635,8,0
c,2,0.25,0.022727272727272735,3,8
c,4,0.22727272727272727,0.04545454545454544,2,6
c,6,0.25,0.04545454545454544,2,6
c,1,0.25,0.13636363636363635,8,0
c,3,0.25,0.13636363636363635,0,7
c,1,0.25,0.13636363636363635,8,0
c,2,0.25,0.13636363636363635,8,2
c,8,0.25,0.04545454545454544,5,3
c,2,0.25,0.022727272727272735,5,5
c,6,0.25,0.04545454545454544,2,6
c,4,0.22727272727272727,0.11363636363636363,6,2
c,4,0.22727272727272727,0.11363636363636363,6,2
c,8,0.2727272727272727,0.022727272727272707,5,4
c,4,0.2727272727272727,0.09090909090909088,5,3
c,4,0.25,0.13636363636363635,7,2
c,6,0.2727272727272727,0.06818181818181815,4,3
c,2,0.3181818181818182,0.022727272727272707,6,4
c,5,0.29545454545454547,0.18181818181818182,7,0
c,2,0.3181818181818182,0.06818181818181818,4,7
c,2,0.29545454545454547,0.09090909090909091,6,3
c,5,0.29545454545454547,0.18181818181818182,7,0
c,2,0.29545454545454547,0.09090909090909091,6,3
c,6,0.3181818181818182,0.13636363636363635,6,2
c,8,0.3181818181818182,0.13636363636363635,7,2
c,2,0.29545454545454547,0.04545454545454547,5,6
c,2,0.29545454545454547,0.04545454545454547,5,6
c,2,0.29545454545454547,0.09090909090909091,6,3
c,5,0.29545454545454547,0.18181818181818182,7,0
c,6,0.29545454545454547,0.022727272727272763,2,8
c,6,0.3181818181818182,0.13636363636363635,6,2
c,8,0.3181818181818182,0.13636363636363635,7,2
c,4,0.29545454545454547,0.022727272727272763,2,8
c,5,0.29545454545454547,0.18181818181818182,7,0
c,8,0.3181818181818182,0.13636363636363635,7,2
c,2,0.3181818181818182,0.022727272727272707,6,4
c,4,0.29545454545454547,0.022727272727272763,2,8
c,5,0.29545454545454547,0.18181818181818182,7,0
c,2,0.29545454545454547,0.09090909090909091,6,3
c,5,0.29545454545454547,0.18181818181818182,7,0
c,2,0.3181818181818182,0.022727272727272707,6,4
c,4,0.29545454545454547,0.0681818181818182,3,5
c,2,0.3181818181818182,0.022727272727272707,6,4
c,4,0.29545454545454547,0.0681818181818182,3,5
c,2,0.29545454545454547,0.09090909090909091,6,3
c,8,0.3181818181818182,0.13636363636363635,7,2
c,4,0.29545454545454547,0.022727272727272763,2,8
d,7,0.06060606060606061,0.06060606060606061,0,5
d,6,0.06060606060606061,-0.7272727272727273,7,0
d,2,0.045454545454545456,0.045454545454545456,6,1
d,2,0.030303030303030304,0.015151515151515152,1,12
d,4,0.030303030303030304,0.030303030303030304,3,5
d,8,0.06060606060606061,-0.8181818181818181,8,0
d,2,0.030303030303030304,0.015151515151515152,2,2
d,6,0.06060606060606061,-0.7272727272727273,7,0
d,8,0.06060606060606061,0.030303030303030304,2,2
d,2,0.045454545454545456,0.045454545454545456,5,1
d,4,0.045454545454545456,0.030303030303030304,5,2
d,4,0.045454545454545456,0.045454545454545456,8,1
d,4,0.045454545454545456,0.030303030303030304,2,6
d,8,0.06060606060606061,0.045454545454545456,3,1
d,2,0.045454545454545456,0.015151515151515152,2,3
d,4,0.045454545454545456,0.045454545454545456,8,1
d,2,0.045454545454545456,0.045454545454545456,9,1
d,8,0.045454545454545456,-0.5606060606060607,5,0
d,2,0.030303030303030304,0.030303030303030304,3,1
d,6,0.030303030303030304,-0.303030303030303,4,0
d,6,0.06060606060606061,-0.9393939393939394,9,0
d,8,0.06060606060606061,-0.8181818181818181,8,0
d,2,0.045454545454545456,0.045454545454545456,8,1
d,8,0.06060606060606061,0.030303030303030304,2,2
d,4,0.045454545454545456,0.045454545454545456,8,1
d,2,0.045454545454545456,0.045454545454545456,7,1
d,6,0.045454545454545456,0.015151515151515152,1,3
d,2,0.030303030303030304,0.015151515151515152,1,12
d,6,0.06060606060606061,-0.9090909090909092,8,0
d,2,0.06060606060606061,0.030303030303030304,3,2
d,2,0.10606060606060606,0.015151515151515152,2,7
d,4,0.07575757575757576,0.045454545454545456,3,6
d,2,0.09090909090909091,0.030303030303030304,3,3
d,4,0.10606060606060606,0.030303030303030304,2,8
d,2,0.10606060606060606,0.06060606060606061,5,2
d,2,0.12121212121212122,0.015151515151515152,2,8
